lineups,team,gp,offrtg,defrtg,netrtg,ast_percent,ast_to,ast_ratio,oreb_percent,dreb_percent,reb_percent,to_ratio,efg_percent,ts_percent,pace,pie,lineup_index,t_harris,t_burke,n_pelle,j_richardson,f_korkmaz,m_thybulle,b_simmons,j_ennis_iii,j_embiid,r_neto,z_smith,s_milton,g_robinson_iii,m_scott,k_o_quinn,j_bolden,m_shayok,a_horford,a_burks
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .B. Simmons",PHI,6,111.9,98.4,13.5,60,3.6,18.6,34.3,80,58.7,0.1,52.3,54.1,95.53,64,420,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
